date,value
2023-02-25,469
2023-02-24,2842
2023-02-23,3009
2023-02-22,3719
2023-02-21,3491
2023-02-20,2105
2023-02-19,884
2023-02-18,1012
2023-02-17,3538
2023-02-16,3587
2023-02-15,3523
2023-02-14,3351
2023-02-13,3374
2023-02-12,1106
2023-02-11,1159
2023-02-10,3460
2023-02-09,3089
2023-02-08,3105
2023-02-07,3186
2023-02-06,2314
2023-02-05,813
2023-02-04,1074
2023-02-03,2793
2023-02-02,3357
2023-02-01,3073
2023-01-31,2857
2023-01-30,2465
2023-01-29,899
2023-01-28,1213
2023-01-27,2465
2023-01-26,2735
2023-01-25,3031
2023-01-24,2170
2023-01-23,2127
2023-01-22,977
2023-01-21,1081
2023-01-20,2446
2023-01-19,2375
2023-01-18,2699
2023-01-17,2327
2023-01-16,1432
2023-01-15,845
2023-01-14,1083
2023-01-13,2515
2023-01-12,3155
2023-01-11,2809
2023-01-10,2893
2023-01-09,2691
2023-01-08,848
2023-01-07,1159
2023-01-06,1886
2023-01-05,2093
2023-01-04,2091
2023-01-03,1830
2023-01-02,1258
2023-01-01,737
2022-12-31,787
2022-12-30,1081
2022-12-29,1779
2022-12-28,1914
2022-12-27,1997
2022-12-26,878
2022-12-25,745
2022-12-24,810
2022-12-23,1256
2022-12-22,2200
2022-12-21,2186
2022-12-20,2492
2022-12-19,1750
2022-12-18,893
2022-12-17,897
2022-12-16,1944
2022-12-15,2207
2022-12-14,1582
2022-12-13,2027
2022-12-12,2289
2022-12-11,305
2022-12-10,492
2022-12-09,1601
2022-12-08,1727
2022-12-07,1660
2022-12-06,1945
2022-12-05,1576
2022-12-04,268
2022-12-03,594
2022-12-02,2139
2022-12-01,1859
2022-11-30,2670
2022-11-29,1630
2022-11-28,1506
2022-11-27,125
2022-11-26,198
2022-11-25,656
2022-11-24,983
2022-11-23,986
2022-11-22,1468
2022-11-21,1335
2022-11-20,315
2022-11-19,413
2022-11-18,1386
2022-11-17,1450
2022-11-16,1950
2022-11-15,1555
2022-11-14,1443
2022-11-13,194
2022-11-12,320
2022-11-11,1397
2022-11-10,2281
2022-11-09,2176
2022-11-08,1602
2022-11-07,1603
2022-11-06,187
2022-11-05,419
2022-11-04,1634
2022-11-03,1604
2022-11-02,2102
2022-11-01,2180
2022-10-31,1485
2022-10-30,293
2022-10-29,407
2022-10-28,1428
2022-10-27,1823
2022-10-26,1614
2022-10-25,1737
2022-10-24,1604
2022-10-23,65
2022-10-22,361
2022-10-21,1887
2022-10-20,1837
2022-10-19,1983
2022-10-18,2062
2022-10-17,1690
2022-10-16,390
2022-10-15,361
2022-10-14,2328
2022-10-13,1869
2022-10-12,1225
2022-10-11,1548
2022-10-10,1381
2022-10-09,200
2022-10-08,497
2022-10-07,1848
2022-10-06,2382
2022-10-05,1686
2022-10-04,1451
2022-10-03,1646
2022-10-02,283
2022-10-01,266
2022-09-30,1608
2022-09-29,1511
2022-09-28,1705
2022-09-27,2067
2022-09-26,1279
2022-09-25,106
2022-09-24,155
2022-09-23,1005
2022-09-22,956
2022-09-21,1126
2022-09-20,1710
2022-09-19,1322
2022-09-18,109
2022-09-17,382
2022-09-16,1380
2022-09-15,1266
2022-09-14,1473
2022-09-13,1384
2022-09-12,1376
2022-09-11,84
2022-09-10,434
2022-09-09,1965
